Date,Fuel(%/quarter),Inflation(%/quarterly),(Fuel%/annually),Inflation(%/annual),Automotive fuel,CPI
1974-03-01,1,2.6,15.4,11.2,114.72,117.17
1974-06-01,1,4.2,17.2,14.3,115.85,122.11
1974-09-01,4.6,5,18.5,13.8,121.13,128.22
1974-12-01,0,3.5,6.6,12.9,121.13,132.77
1975-03-01,11.2,3.7,17.4,17.5,134.72,137.71
1975-06-01,2.7,3.7,19.4,16.9,138.3,142.78
1975-09-01,-1,0.7,13.1,12.2,136.98,143.82
1975-12-01,9.9,5.6,24.3,14.4,150.57,151.89
1976-03-01,2.8,2.6,14.8,13.1,154.72,155.79
1976-06-01,-3.4,2.6,8,11.9,149.43,159.82
1976-09-01,1.9,2.5,11.2,13.9,152.26,163.85
1976-12-01,0,5.9,1.1,14.2,152.26,173.47
1977-03-01,4,2.3,2.3,14,158.3,177.5
1977-06-01,-1.5,2.3,4.3,13.6,155.85,181.53
1977-09-01,1.6,1.9,4,12.9,158.3,185.05
1977-12-01,9.3,2.4,13.6,9.2,173.02,189.47
1978-03-01,-1.1,1.4,8.1,8.2,171.13,192.07
1978-06-01,0.3,2.1,10.2,8,171.7,196.1
1978-09-01,0,1.8,8.5,7.9,171.7,199.61
1978-12-01,20.9,2.3,20,7.8,207.55,204.16
1979-03-01,2.9,1.7,24.8,8.1,213.58,207.67
1979-06-01,9.9,2.6,36.7,8.7,234.72,213.13
1979-09-01,8.5,2.4,48.4,9.3,254.72,218.21
1979-12-01,10.4,3,35.5,10.1,281.13,224.71
1980-03-01,-2.3,2.3,28.6,10.6,274.72,229.78
1980-06-01,14.4,2.8,33.8,10.9,314.15,236.28
1980-09-01,-4,1.7,18.4,10.1,301.7,240.31
1980-12-01,2.6,2.1,10.1,9.2,309.43,245.38
1981-03-01,7.4,2.4,20.9,9.4,332.26,251.37
1981-06-01,9.6,2.2,15.9,8.8,364.15,256.96
1981-09-01,-6,1.9,13.4,8.98,342.26,261.9
1981-12-01,4.5,4.2,15.5,11.2,357.55,272.95
1982-03-01,-2,1.9,5.5,10.6,350.57,278.02
1982-06-01,2.9,2.3,-1,10.7,360.57,284.53
1982-09-01,12.2,3.5,18.2,12.5,404.72,294.54
1982-12-01,0.1,2.9,13.4,11,405.28,303.12
1983-03-01,4.1,2.1,20.3,11.4,421.7,309.62
1983-06-01,-4.7,2.1,11.4,11.1,401.7,316.25
1983-09-01,7.5,1.7,6.7,9.2,431.7,321.72
1983-12-01,4.8,2.3,11.6,8.6,452.26,329.26
1984-03-01,-0.5,-0.4,6.7,5.9,450,327.83
1984-06-01,3.6,0.3,16.1,3.9,466.42,328.74
1984-09-01,0.9,1.2,9,3.4,470.57,332.77
1984-12-01,-0.9,1.5,3.1,2.6,466.42,337.84
1985-03-01,2,1.3,5.7,4.4,475.85,342.39
1985-06-01,9.6,2.4,11.9,6.6,521.7,350.46
1985-09-01,2.5,2.3,13.6,7.7,534.72,358.39
1985-12-01,-3.5,2,10.6,8.2,515.85,365.54
1986-03-01,2.4,2.3,11,9.2,528.11,373.99
1986-06-01,-11.2,1.6,-10.1,8.5,468.87,380.1
1986-09-01,6.3,2.6,-6.8,8.9,498.3,390.12
1986-12-01,6.7,2.8,3.1,9.7,531.7,401.17
1987-03-01,2.1,2,2.8,9.4,542.83,409.23
1987-06-01,-2.9,1.5,12.4,9.2,526.98,415.21
1987-09-01,-0.5,1.7,5.2,8.2,524.15,422.24
1987-12-01,4.1,1.8,2.7,7.1,545.85,429.78
1988-03-01,0.6,1.8,1.1,6.9,548.87,437.32
1988-06-01,-6.1,1.7,-2.2,7.1,515.28,444.86
1988-09-01,-0.6,1.9,-2.3,7.4,512.26,453.45
1988-12-01,-2.4,2,-8.4,7.6,500,462.55
1989-03-01,0,1,-8.9,6.8,500,466.97
1989-06-01,8.3,2.5,5.1,7.6,541.7,478.54
1989-09-01,1.5,2.3,7.4,7.9,550,489.6
1989-12-01,4.7,1.9,15.2,7.8,575.85,498.7
1990-03-01,6.4,1.7,22.6,8.6,612.83,507.28
1990-06-01,0.1,1.6,13.3,7.7,613.58,515.34
